Tên diễn viên,Số lần xuất hiện
Quang Tuấn,12
Kiều Minh Tuấn,11
NSƯT Hữu Châu,10
Thu Trang,10
NSND Hồng Vân,10
Tuấn Trần,9
Quốc Cường,9
Lê Giang,8
Mạc Văn Khoa,8
Quách Ngọc Tuyên,7f
Kaity Nguyễn,7
Tiến Luật,7
Rima Thanh Vy,7
Hứa Vĩ Văn,7
Khả Như,7
Phương Anh Đào,7
NSND Kim Xuân,6
Thuận Nguyễn,6
Quốc Khánh,6
Huỳnh Đông,6
La Thành,6
Hồng Đào,6
Trấn Thành,5
Samuel An,5
Uyển Ân,5
Hồng Ánh,5
Quốc Trường,5
Hạnh Thúy,5
Thái Hòa,5
Võ Tấn Phát,5
Jun Vũ,5
Huỳnh Phương,5
Trần Phong,5
Công Dương,4
Hứa Minh Đạt,4
Lâm Thanh Nhã,4
Phi Phụng,4
Lâm Thanh Mỹ,4
Việt Hương,4
Vân Trang,4
Lê Khánh,4
Lãnh Thanh,4
Võ Điền Gia Huy,4
Thanh Hương,4
Diệu Nhi,4
Trung Dân,4
NSƯT Ngọc Hiệp,4
Đinh Y Nhung,4
Mai Thế Hiệp,4
Trần Ngọc Vàng,4
Công Ninh,4
Kiều Trinh,4
Vinh Râu,4
Ngọc Tưởng,4
Lan Thy,4
Hiếu Hiền,4
NSND Lê Khanh,4
Hoàng Yến Chibi,4
NSƯT Hạnh Thúy,4
Hoàng Hà,4
Đại Nghĩa,4
Tạ Lâm,4
Thái Vũ,4
Oanh Kiều,4
Ngân Chi,3
Quách Ngọc Ngoan,3
Trần Nghĩa,3
Song Luân,3
Ngọc Trinh,3
Phương Lan,3
Hoài Linh,3
Bùi Anh Tú,3
Kiến An,3
Lê Lộc,3
Thanh Thức,3
Hoàng Phi,3
Ngọc Phước,3
Lê Dương Bảo Lâm,3
Ngô Kiến Huy,3
Thiên An,3
Minh Hằng,3
Nguyễn Phước Lộc,3
Long Đẹp Trai,3
Thanh Hằng,3
Bảo Anh,3
Xuân Nghị,3
Lê Trang,3
Hoàng Mèo,3
NSƯT Thành Lộc,3
Lâm Vỹ Dạ,3
Huỳnh Thanh Trực,3
Ốc Thanh Vân,3
Duy Khánh,3
Bích Ngọc,3
Anh Tú Wilson,3
Quốc Anh,3
Ninh Dương Lan Ngọc,3
NSND Việt Anh,3
NSND Ngọc Giàu,3
Ngọc Xuân,3
Huỳnh Hạo Khang,3
Tín Nguyễn,3
Yu Dương,3
Karen Nguyễn,3
Quang Minh,3
Nguyễn Lâm Thảo Tâm,3
Nguyên Thảo,3
Diệp Bảo Ngọc,3
Trần Lực,3
Avin Lu,3
Mai Cát Vi,3
Quốc Huy,3
Hải Anh,2
Đình Khang,2
Cát Phượng,2
Kay Trần,2
Hoàng Kim Ngọc,2
Bảo Ngọc,2
Phương Thanh,2
Phước Sang,2
Trương Ngọc Ánh,2
Hải Triều,2
Quang Sơn,2
Sỹ Toàn,2
Puka,2
Phát La,2
Hiếu Nguyễn,2
Xuân Phúc,2
Băng Di,2
Đoàn Thiên Ân,2
Trương Thế Vinh,2
Hoàng Long,2
Khả Ngân,2
Katleen Phan Võ,2
Hoàng Sơn,2
Đoàn Thế Vinh,2
Ngân Quỳnh,2
Đỗ Nhật Hoàng,2
Tuấn Khải,2
Nhật Linh,2
Thanh Sơn,2
Chiều Xuân,2
Bạch Công Khanh,2
Anh Đào,2
Kiều Oanh,2
NSND Trung Anh,2
NSND Thanh Nam,2
Trần Kim Hải,2
SyNi Trang,2
Hải Nam,2
Quyền Linh,2
Minh Khang,2
Tiết Cương,2
Thùy Anh,2
Chiến Thắng,2
Trâm Anh,2
Ceri,2
NSƯT Chiều Xuân,2
Kim Phương,2
Lê Phương,2
Quỳnh Lương,2
Anh Phạm,2
Thùy Trang,2
Ngọc Ánh,2
Đào Anh Tuấn,2
Đinh Ngọc Diệp,2
Lê Thu An,2
Nguyễn Hữu Tiến,2
Vân Dung,2
Khánh Vân,2
Phú Thịnh,2
Khương Lê,2
NSND Hoàng Dũng,2
Huỳnh Uyển Ân,2
Nguyễn Thùy Anh,2
Ngọc Trai,2
Hồ Thu Anh,2
Huy Khánh,2
Trung Dũng,2
Maya,2
Doãn Quốc Đam,2
Minh Dự,2
Trương Minh Quốc Thái,2
Trần Tiểu Vy,2
Đỗ Nhật Trường,2
Peter Phạm,2
Ma Ran Đô,2
Kim Hải,2
Lê Xuân Tiền,2
Cao Thái Hà,2
